,start_time,end_time,hv_SiPM,hv_PMT,hv_veto_SiPM,hv_veto_PMT,custom_scenario_PMT,custom_scenario_SiPM,thresholds_SiPM.channel_0,thresholds_SiPM.channel_1,thresholds_SiPM.channel_2,thresholds_SiPM.channel_3,thresholds_PMT.channel_0,thresholds_PMT.channel_1,thresholds_PMT.channel_2,thresholds_PMT.channel_3
0,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
1,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
2,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
3,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
4,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
5,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
6,,,4050,4050,2500,2500,0FD209C40BB8100407081068,0FD209C40384051402580384,33795,5125,22530,33795,47115,1040,2055,26640
7,,,3855,3855,50185,50185,0F0FC409B80B041008076810,0F0FC4098403140558028403,900,1300,600,900,3000,4100,1800,4200
8,,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F098403140558028403,900,1300,600,900,3000,4100,1800,4200
9,,,3848,3848,3847,3847,0F080F07B80B041008076810,0F080F078403140558028403,900,1300,600,900,3000,4100,1800,4200
10,,,3844,3850,3847,3847,0F0A0F07B80B041008076810,0F040F078403140558028403,900,1300,600,900,3000,4100,1800,4200
11,2022-04-12 15:05:26,2022-04-12 15:45:27,3844,3855,3849,3849,0F0F0F09B80B041008076810,0F040F098403140558028403,900,1300,600,900,3000,4100,1800,4200
12,2022-04-14 09:55:31,2022-04-14 10:15:31,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F0900FF140558028403,65280,1300,600,900,3000,4100,1800,4200
13,2022-04-22 09:35:20,2022-04-22 09:55:20,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09FFFFFFFFFFFFFFFF,65535,65535,65535,65535,3000,4100,1800,4200
14,2022-04-29 02:17:13,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09FFFFFFFFFFFFFFFF,65535,65535,65535,65535,3000,4100,1800,4200
15,2022-04-29 02:56:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
16,2022-04-29 04:26:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
17,2022-04-29 05:56:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
18,2022-04-29 07:26:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
19,2022-04-29 08:56:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
20,2022-04-29 10:26:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
21,2022-04-29 11:56:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
22,2022-04-29 13:26:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
23,2022-04-29 14:56:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
24,2022-04-29 16:26:52,,0,3855,3849,3849,0F0F0F09B80B041008076810,00000F094006E8039001E803,1600,1000,400,1000,3000,4100,1800,4200
25,2022-05-05 02:17:38,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
26,2022-05-05 03:47:38,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
27,2022-05-05 05:17:38,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
28,2022-05-05 08:17:38,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
29,2022-05-05 09:47:38,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
30,2022-05-05 11:17:38,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
31,2022-05-05 15:46:49,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
32,2022-05-05 17:16:49,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
33,2022-05-05 18:46:49,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
34,2022-05-05 20:16:49,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
35,2022-05-06 01:26:19,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
