Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
1 ,bn230109554 ,SFLARE23010955 ,  59953.5529429 ,  59953.5544719 ,SFLARE ,  64 ,00010100000000 ,322.4167 , 24.2000
1 ,bn230109088 ,SFLARE23010908 ,  59953.0861461 ,  59953.0877443 ,SFLARE ,  64 ,01000100000000 ,105.4500 , 17.5833
1 ,bn230107032 ,SFLARE23010703 ,  59951.0303032 ,  59951.0318543 ,SFLARE ,  64 ,00001100000000 , 84.8500 , -7.1000
2 ,bn230106783 ,SFLARE23010678 ,  59950.7813613 ,  59950.7828976 ,SFLARE ,  64 ,00100100000000 ,253.9333 , 22.8833
1 ,bn230106038 ,SFLARE23010603 ,  59950.0365136 ,  59950.0381026 ,SFLARE ,  64 ,01000100000000 , 67.7833 ,-16.2667
1 ,bn230105440 ,UNCERT23010544 ,  59949.4381571 ,  59949.4397354 ,UNCERT ,  16 ,00000000110001 ,261.3333 ,-23.2333
0 ,bn230103836 ,TGF230103836 ,  59947.8341933 ,  59947.8357957 ,TGF ,  16 ,00010100000010 , 15.0667 ,  0.2667
1 ,bn230103268 ,SFLARE23010326 ,  59947.2675819 ,  59947.2680845 ,SFLARE ,  64 ,00100100000000 ,  8.0167 ,-15.7833
1 ,bn230102401 ,LOCLPAR2301024 ,  59946.3991946 ,  59946.4007354 ,LOCLPAR ,4096 ,00000000100100 ,269.8667 ,-25.4000
0 ,bn230102015 ,GRB230102015 ,  59946.0138212 ,  59946.0154279 ,GRB ,  16 ,11011100000000 ,111.7500 ,-14.7000
0 ,bn230101903 ,LOCLPAR2301019 ,  59945.9014637 ,  59945.9029808 ,LOCLPAR ,2048 ,00010000010000 ,254.8833 , 23.8333
0 ,bn230101411 ,LOCLPAR2301014 ,  59945.4092108 ,  59945.4107279 ,LOCLPAR ,4096 ,01000010000000 ,270.2500 ,-25.2500
0 ,bn230101095 ,GRB230101095 ,  59945.0933106 ,  59945.0948958 ,GRB , 256 ,00011000000000 ,105.3333 , -8.5833
1 ,bn221231907 ,GRB221231907 ,  59944.9053923 ,  59944.9070038 ,GRB ,  64 ,11100100011000 ,224.4667 , 13.9500
1 ,bn221231419 ,LOCLPAR2212314 ,  59944.4178518 ,  59944.4194044 ,LOCLPAR ,2048 ,00000001100000 ,263.3333 ,-24.2167
1 ,bn221230798 ,SFLARE22123079 ,  59943.7960616 ,  59943.7976357 ,SFLARE ,  64 ,00001100000000 ,341.3167 , 25.0667
1 ,bn221230220 ,LOCLPAR2212302 ,  59943.2189247 ,  59943.2204417 ,LOCLPAR ,4096 ,00100010000000 ,281.4333 , -3.8167
1 ,bn221229905 ,UNCERT22122990 ,  59942.9037597 ,  59942.9053212 ,UNCERT ,  64 ,00010001000000 ,118.1833 ,-25.4333
1 ,bn221229206 ,SGR221229206 ,  59942.2047338 ,  59942.2062782 ,SGR ,  16 ,00010100000000 ,157.4167 , 20.2833
0 ,bn221228204 ,GRB221228204 ,  59941.2020553 ,  59941.2036435 ,GRB , 512 ,01110000000000 , 98.4500 , -7.8167
1 ,bn221227858 ,SFL221227858 ,  59940.8564290 ,  59940.8580349 ,SFLARE ,  64 ,00100100000000 ,136.0000 ,-24.5333
1 ,bn221227729 ,SFL221227729 ,  59940.7270457 ,  59940.7286176 ,SFLARE ,  64 ,00010100000000 ,198.6500 ,-25.4333
1 ,bn221227530 ,LOCLPAR2212275 ,  59940.5285039 ,  59940.5300684 ,LOCLPAR ,4096 ,01000001000000 ,267.6833 ,-25.3500
1 ,bn221226945 ,GRB221226945 ,  59939.9437815 ,  59939.9453752 ,GRB ,  64 ,00000011000000 ,175.0500 ,-17.9833
1 ,bn221226871 ,DISTPAR2212268 ,  59939.8695276 ,  59939.8710691 ,DISTPAR , 128 ,00100100000000 ,153.7667 ,-25.4333
0 ,bn221226698 ,GRB221226698 ,  59939.6959368 ,  59939.6975354 ,GRB , 256 ,00000000100100 ,347.7000 , 16.4833
1 ,bn221226424 ,SFLARE22122642 ,  59939.4222278 ,  59939.4237708 ,SFLARE ,  64 ,11000000000000 , 38.3833 , -5.4333
1 ,bn221225291 ,SFLARE22122529 ,  59938.2893504 ,  59938.2909074 ,SFLARE ,  64 ,01000100000000 , 32.4167 ,-24.6167
0 ,bn221225015 ,SGR221225015 ,  59938.0135716 ,  59938.0151360 ,SGR ,  16 ,00001100000000 , 64.3500 ,-15.7167
