Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
0 ,bn230103836 ,TGF230103836 ,  59947.8341933 ,  59947.8357957 ,TGF ,16 ,00010100000010 , 15.0667 ,  0.2667
0 ,bn221212368 ,TGF221212368 ,  59925.3667326 ,  59925.3683001 ,TGF ,16 ,11000100000010 ,139.0167 ,-17.4000
0 ,bn221206774 ,TGF221206774 ,  59919.7720094 ,  59919.7736031 ,TGF ,16 ,00001000010010 , 98.6667 ,  9.8667
0 ,bn221203575 ,TGF221203575 ,  59916.5732993 ,  59916.5748700 ,TGF ,16 ,00000000000011 , 17.9833 ,-11.1167
2 ,bn221202773 ,TGF221202773 ,  59915.7716555 ,  59915.7731941 ,TGF ,16 ,01000110000011 ,262.5667 , 11.9667
1 ,bn221130196 ,TGF221130196 ,  59913.1943629 ,  59913.1959124 ,TGF ,16 ,00000010010001 ,105.6167 , 20.4833
0 ,bn221127794 ,TGF221127794 ,  59910.7933277 ,  59910.7940913 ,TGF ,16 ,00000000000011 ,120.4000 , -9.1167
0 ,bn221125956 ,TGF221125956 ,  59908.9540053 ,  59908.9555305 ,TGF ,16 ,00000011110001 ,118.8000 , 10.4667
0 ,bn221114697 ,TGF221114697 ,  59897.6956370 ,  59897.6971624 ,TGF ,16 ,00101000000010 , 64.0833 , 14.5500
0 ,bn221110235 ,TGF221110235 ,  59893.2337604 ,  59893.2353265 ,TGF ,16 ,00000000000011 , 33.4833 ,-25.3500
0 ,bn221105370 ,TGF221105370 ,  59888.3688556 ,  59888.3703958 ,TGF ,16 ,11110100011000 ,113.1333 ,  2.5000
0 ,bn221101939 ,TGF221101939 ,  59884.9376162 ,  59884.9391829 ,TGF ,16 ,10000010000000 ,291.3833 ,  0.6500
0 ,bn221027792 ,TGF221027792 ,  59879.7907150 ,  59879.7922613 ,TGF ,16 ,00000000000011 , 18.6833 , -2.1167
4 ,bn221025954 ,TGF221025954 ,  59877.9528163 ,  59877.9543591 ,TGF ,16 ,11011111110000 , 21.9500 , 18.0000
1 ,bn221017563 ,TGF221017563 ,  59869.5615972 ,  59869.5631919 ,TGF ,16 ,10010100000011 ,164.1167 , -9.8833
0 ,bn221016776 ,TGF221016776 ,  59868.7748812 ,  59868.7764026 ,TGF ,16 ,00010000011011 ,117.7167 ,  1.4167
0 ,bn221011327 ,TGF221011327 ,  59863.3253525 ,  59863.3269397 ,TGF ,16 ,00000000000011 ,109.3500 , 13.3667
0 ,bn221008989 ,TGF221008989 ,  59860.9878682 ,  59860.9894669 ,TGF ,16 ,01100000011000 , 92.1167 , -3.1167
1 ,bn221008958 ,TGF221008958 ,  59860.9561230 ,  59860.9577062 ,TGF ,16 ,00011001000100 ,290.1667 ,  0.0500
1 ,bn221008888 ,TGF221008888 ,  59860.8869821 ,  59860.8885012 ,TGF ,16 ,00000000000011 ,299.6667 ,  7.5833
0 ,bn221006771 ,TGF221006771 ,  59858.7690775 ,  59858.7706394 ,TGF ,16 ,00000000000011 ,323.5500 , 20.5000
