'*',    81,     1,    34,    42,     3,    63,   180,     0
'SPENVIS 4.6.11.3477          -  7-Mar-2023 15:43:09'
'PRJ_DEF', -1,'LIGHT-1'
'PRJ_HDR', -1,'NYUAD LIGHT-1 Background'
'MOD_ABB', -1,'ANI'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26571.00000000,' '
'MIS_END',  1,  26662.00000000,' '
'MIS_DUR',  1, 9.100000E+01,'days'
'ORB_HDR', -1,'Golden October'
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  26571.00000000,' '
'ORB_YEA',  1, 2022,' '
'ORB_MON',  1, 10,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 3.627892E+02,'km'
'ORB_PER',  1, 3.615379E+02,'km'
'ORB_INC',  1,    51.63,'deg'
'ORB_RAA',  1,   173.03,'deg'
'ORB_ARG',  1,    80.26,'deg'
'ORB_TRA',  1,    43.10,'deg'
'ORB_PRD',  1, 1.527340E+00,'hrs'
'ORB_DUR',  1, 3.000000E+01,'days'
'ORB_TSE',  1,  26662.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AP-8 MIN'
'TRP_OMN',  1,  1,' '
'ANI_MOD', -1,'UP-MIN'
'ANI_NDI',  1, 180,' '
'ENERGY', 29,   0.10,   0.15,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   1.00,   1.50,   2.00,   3.00,   4.00,   5.00,   6.00,   7.00,  10.00,  15.00,  20.00,  30.00,  40.00,  50.00,  60.00,  70.00, 100.00, 150.00, 200.00, 300.00, 400.00,'MeV'
'PS Annotation',  8,  3
'Mission start: 01/10/2022 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2022 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 91.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  2
'Segment  1: Golden October'
 0.05, 2.00, 0.00
'Apogee: 362.8 km'
 0.05, 1.50, 0.00
'Perigee: 361.5 km'
 0.50, 0.00, 0.50
'Inclination: 51.6 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 173.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 80.3 deg'
 0.50, 0.00, 0.50
'True Anomaly: 43.1 deg'
 0.95, 0.00, 1.00
'Period: 1.53 hrs'
 0.05, 1.50, 0.00
'Duration: 30.00 days'
 0.50, 0.00, 0.50
'471.41 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/10/2022 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 31/10/2022 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  1
'Trapped proton model: AP-8 MIN'
 0.05, 2.00, 0.00
'PS Annotation',  4,  0
'Anisotropy model: UP-MIN'
 0.05, 2.00, 0.00
'Number of look directions: 180'
 0.10, 1.50, 0.00
'Angles','deg', 5,'Look directions'
'IFlux','cm!u-2!n s!u-1!n sr!u-1!n', 29,'Integral Proton Flux >','ENERGY'
'DFlux','cm!u-2!n s!u-1!n sr!u-1!n MeV!u-1!n', 29,'Differential Proton Flux >','ENERGY'
   7.500,  12.000,  15.000,  24.000, 0.113581, 1.3286E+00, 1.0701E+00, 8.8943E-01, 6.4475E-01, 4.9338E-01, 3.9300E-01, 3.2266E-01, 2.7116E-01, 1.8199E-01, 1.1492E-01, 8.0947E-02, 4.6917E-02, 3.0219E-02, 2.0871E-02, 1.5163E-02, 1.1559E-02, 6.2279E-03, 3.2055E-03, 2.0559E-03, 1.1146E-03, 7.0480E-04, 4.6694E-04, 3.1173E-04, 2.0168E-04, 4.7886E-05, 3.5577E-06, 2.7449E-07, 0.0000E+00, 0.0000E+00, 6.5733E+00, 4.1225E+00, 3.1890E+00, 1.9011E+00, 1.2109E+00, 8.3403E-01, 5.9372E-01, 4.4698E-01, 1.9615E-01, 9.2067E-02, 5.0052E-02, 2.3200E-02, 1.1961E-02, 7.2913E-03, 4.4449E-03, 2.9095E-03, 1.0586E-03, 3.3405E-04, 1.5643E-04, 5.5554E-05, 3.0181E-05, 1.8722E-05, 1.2864E-05, 9.4143E-06, 2.6310E-06, 2.1122E-07, 1.2222E-08, 0.0000E+00, 0.0000E+00
   7.500,  36.000,  15.000,  24.000, 0.113581, 1.1275E+00, 9.1892E-01, 7.7124E-01, 5.6821E-01, 4.4023E-01, 3.5413E-01, 2.9314E-01, 2.4802E-01, 1.6893E-01, 1.0842E-01, 7.7244E-02, 4.5454E-02, 2.9621E-02, 2.0674E-02, 1.5184E-02, 1.1707E-02, 6.5203E-03, 3.5268E-03, 2.3557E-03, 1.3569E-03, 9.0081E-04, 6.2465E-04, 4.3652E-04, 2.9783E-04, 8.8083E-05, 1.1343E-05, 1.4079E-06, 3.7509E-08, 0.0000E+00, 5.2677E+00, 3.3499E+00, 2.6218E+00, 1.5928E+00, 1.0335E+00, 7.1919E-01, 5.1777E-01, 3.9336E-01, 1.7563E-01, 8.3756E-02, 4.6368E-02, 2.1877E-02, 1.1411E-02, 7.0023E-03, 4.2820E-03, 2.8134E-03, 1.0376E-03, 3.3530E-04, 1.6212E-04, 6.0671E-05, 3.4297E-05, 2.2247E-05, 1.5922E-05, 1.2091E-05, 3.8859E-06, 4.9034E-07, 6.2940E-08, 1.1179E-09, 0.0000E+00
   7.500,  60.000,  15.000,  24.000, 0.113581, 8.5502E-01, 7.0857E-01, 6.0304E-01, 4.5506E-01, 3.5958E-01, 2.9416E-01, 2.4709E-01, 2.1167E-01, 1.4811E-01, 9.7899E-02, 7.1174E-02, 4.3005E-02, 2.8601E-02, 2.0325E-02, 1.5199E-02, 1.1929E-02, 6.9926E-03, 4.0673E-03, 2.8754E-03, 1.7943E-03, 1.2629E-03, 9.2147E-04, 6.7647E-04, 4.8737E-04, 1.7449E-04, 3.3269E-05, 6.8334E-06, 5.0246E-07, 0.0000E+00, 3.6618E+00, 2.3749E+00, 1.8881E+00, 1.1754E+00, 7.8002E-01, 5.5018E-01, 4.0326E-01, 3.1138E-01, 1.4363E-01, 7.0624E-02, 4.0487E-02, 1.9706E-02, 1.0499E-02, 6.5163E-03, 4.0130E-03, 2.6542E-03, 9.9865E-04, 3.3403E-04, 1.6911E-04, 6.8647E-05, 4.1253E-05, 2.8317E-05, 2.1237E-05, 1.6862E-05, 6.3104E-06, 1.1071E-06, 2.1994E-07, 1.0781E-08, 0.0000E+00
   7.500,  84.000,  15.000,  24.000, 0.113581, 6.2787E-01, 5.3020E-01, 4.5861E-01, 3.5623E-01, 2.8844E-01, 2.4102E-01, 2.0618E-01, 1.7932E-01, 1.2946E-01, 8.8365E-02, 6.5612E-02, 4.0770E-02, 2.7725E-02, 2.0104E-02, 1.5336E-02, 1.2269E-02, 7.5757E-03, 4.7228E-03, 3.5128E-03, 2.3437E-03, 1.7257E-03, 1.3072E-03, 9.9413E-04, 7.4394E-04, 3.0071E-04, 7.0051E-05, 1.6997E-05, 8.5837E-07, 2.5616E-08, 2.4165E+00, 1.6008E+00, 1.2890E+00, 8.2421E-01, 5.6093E-01, 4.0213E-01, 3.0234E-01, 2.3909E-01, 1.1539E-01, 5.9015E-02, 3.5176E-02, 1.7668E-02, 9.6154E-03, 6.0359E-03, 3.7505E-03, 2.5005E-03, 9.5975E-04, 3.3179E-04, 1.7597E-04, 7.7631E-05, 4.9430E-05, 3.5536E-05, 2.7651E-05, 2.2679E-05, 9.5177E-06, 2.0381E-06, 5.0222E-07, 3.4928E-08, 7.8175E-10
   7.500, 108.000,  15.000,  24.000, 0.113581, 4.7712E-01, 4.0947E-01, 3.5930E-01, 2.8652E-01, 2.3731E-01, 2.0226E-01, 1.7595E-01, 1.5508E-01, 1.1502E-01, 8.0641E-02, 6.0926E-02, 3.8746E-02, 2.6842E-02, 1.9791E-02, 1.5342E-02, 1.2459E-02, 8.0032E-03, 5.2398E-03, 4.0302E-03, 2.8040E-03, 2.1210E-03, 1.6425E-03, 1.2752E-03, 9.7480E-04, 4.1988E-04, 1.0785E-04, 2.8638E-05, 1.9020E-06, 1.0497E-07, 1.6598E+00, 1.1181E+00, 9.0632E-01, 5.9240E-01, 4.1153E-01, 2.9942E-01, 2.3179E-01, 1.8830E-01, 9.4846E-02, 5.0299E-02, 3.1023E-02, 1.5988E-02, 8.8568E-03, 5.6116E-03, 3.5136E-03, 2.3579E-03, 9.1904E-04, 3.2599E-04, 1.7932E-04, 8.4139E-05, 5.5757E-05, 4.1209E-05, 3.2827E-05, 2.7542E-05, 1.2350E-05, 2.9267E-06, 7.9248E-07, 6.3846E-08, 2.6426E-09
   7.500, 132.000,  15.000,  24.000, 0.113581, 3.9905E-01, 3.4597E-01, 3.0637E-01, 2.4849E-01, 2.0886E-01, 1.8035E-01, 1.5862E-01, 1.4103E-01, 1.0646E-01, 7.5941E-02, 5.7999E-02, 3.7394E-02, 2.6172E-02, 1.9466E-02, 1.5213E-02, 1.2446E-02, 8.1452E-03, 5.4488E-03, 4.2490E-03, 3.0045E-03, 2.2951E-03, 1.7910E-03, 1.3999E-03, 1.0775E-03, 4.7334E-04, 1.2494E-04, 3.3933E-05, 2.3919E-06, 1.4791E-07, 1.2958E+00, 8.8161E-01, 7.1625E-01, 4.7414E-01, 3.3335E-01, 2.4471E-01, 1.9347E-01, 1.6022E-01, 8.3168E-02, 4.5248E-02, 2.8582E-02, 1.4988E-02, 8.3997E-03, 5.3533E-03, 3.3668E-03, 2.2671E-03, 8.9115E-04, 3.2055E-04, 1.7959E-04, 8.6667E-05, 5.8403E-05, 4.3676E-05, 3.5112E-05, 2.9671E-05, 1.3610E-05, 3.3281E-06, 9.2371E-07, 7.7135E-08, 3.5775E-09
   7.500, 156.000,  15.000,  24.000, 0.113581, 3.8285E-01, 3.3297E-01, 2.9568E-01, 2.4104E-01, 2.0348E-01, 1.7637E-01, 1.5560E-01, 1.3868E-01, 1.0517E-01, 7.5333E-02, 5.7649E-02, 3.7204E-02, 2.6024E-02, 1.9329E-02, 1.5080E-02, 1.2316E-02, 8.0219E-03, 5.3318E-03, 4.1381E-03, 2.9070E-03, 2.2103E-03, 1.7176E-03, 1.3370E-03, 1.0244E-03, 4.4410E-04, 1.1491E-04, 3.0624E-05, 2.0407E-06, 1.1276E-07, 1.2158E+00, 8.2986E-01, 6.7473E-01, 4.4855E-01, 3.1658E-01, 2.3303E-01, 1.8551E-01, 1.5460E-01, 8.1008E-02, 4.4426E-02, 2.8286E-02, 1.4912E-02, 8.3813E-03, 5.3477E-03, 3.3638E-03, 2.2641E-03, 8.8961E-04, 3.1953E-04, 1.7833E-04, 8.5367E-05, 5.7202E-05, 4.2597E-05, 3.4100E-05, 2.8698E-05, 1.2971E-05, 3.1070E-06, 8.4592E-07, 6.8473E-08, 2.8376E-09
   7.500, 180.000,  15.000,  24.000, 0.113581, 4.2556E-01, 3.6843E-01, 3.2580E-01, 2.6349E-01, 2.2085E-01, 1.9019E-01, 1.6687E-01, 1.4806E-01, 1.1122E-01, 7.8860E-02, 5.9905E-02, 3.8197E-02, 2.6414E-02, 1.9396E-02, 1.4959E-02, 1.2086E-02, 7.6510E-03, 4.9081E-03, 3.7169E-03, 2.5307E-03, 1.8846E-03, 1.4390E-03, 1.1014E-03, 8.2901E-04, 3.4041E-04, 8.0943E-05, 1.9896E-05, 1.0200E-06, 3.0727E-08, 1.3949E+00, 9.4853E-01, 7.7121E-01, 5.1040E-01, 3.5861E-01, 2.6299E-01, 2.0728E-01, 1.7113E-01, 8.8378E-02, 4.7871E-02, 3.0152E-02, 1.5767E-02, 8.8023E-03, 5.5943E-03, 3.5042E-03, 2.3486E-03, 9.1402E-04, 3.2278E-04, 1.7553E-04, 8.0309E-05, 5.2261E-05, 3.8123E-05, 2.9970E-05, 2.4802E-05, 1.0592E-05, 2.3288E-06, 5.8370E-07, 4.1392E-08, 9.3522E-10
   7.500, 204.000,  15.000,  24.000, 0.113581, 5.2711E-01, 4.5133E-01, 3.9513E-01, 3.1363E-01, 2.5858E-01, 2.1944E-01, 1.9015E-01, 1.6702E-01, 1.2291E-01, 8.5328E-02, 6.3901E-02, 3.9911E-02, 2.7107E-02, 1.9566E-02, 1.4834E-02, 1.1790E-02, 7.1402E-03, 4.3249E-03, 3.1428E-03, 2.0274E-03, 1.4558E-03, 1.0778E-03, 8.0057E-04, 5.8360E-04, 2.1675E-04, 4.3649E-05, 9.3574E-06, 7.3388E-07, 0.0000E+00, 1.8604E+00, 1.2519E+00, 1.0155E+00, 6.6314E-01, 4.5997E-01, 3.3405E-01, 2.5744E-01, 2.0811E-01, 1.0403E-01, 5.4801E-02, 3.3632E-02, 1.7248E-02, 9.4938E-03, 5.9872E-03, 3.7241E-03, 2.4799E-03, 9.4977E-04, 3.2629E-04, 1.7061E-04, 7.2709E-05, 4.5107E-05, 3.1773E-05, 2.4239E-05, 1.9452E-05, 7.5476E-06, 1.4091E-06, 2.9374E-07, 1.5358E-08, 0.0000E+00
   7.500, 228.000,  15.000,  24.000, 0.113581, 6.8984E-01, 5.8123E-01, 5.0167E-01, 3.8798E-01, 3.1281E-01, 2.6030E-01, 2.2181E-01, 1.9224E-01, 1.3765E-01, 9.2939E-02, 6.8343E-02, 4.1659E-02, 2.7743E-02, 1.9664E-02, 1.4639E-02, 1.1432E-02, 6.5916E-03, 3.7328E-03, 2.5774E-03, 1.5497E-03, 1.0587E-03, 7.5109E-04, 5.3557E-04, 3.7322E-04, 1.1865E-04, 1.7468E-05, 2.5311E-06, 9.3575E-08, 0.0000E+00, 2.6888E+00, 1.7792E+00, 1.4324E+00, 9.1454E-01, 6.2161E-01, 4.4504E-01, 3.3347E-01, 2.6263E-01, 1.2590E-01, 6.3990E-02, 3.7901E-02, 1.8913E-02, 1.0219E-02, 6.3809E-03, 3.9375E-03, 2.6036E-03, 9.7841E-04, 3.2541E-04, 1.6300E-04, 6.4191E-05, 3.7620E-05, 2.5196E-05, 1.8461E-05, 1.4293E-05, 4.8778E-06, 7.0245E-07, 1.0293E-07, 2.5368E-09, 0.0000E+00
