seq_nr,entry_nr,script_nr,data,timestamp
882,1,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x00\x00\x00\x00?\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\t',2022-04-22T08:34:40.56333
883,2,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
884,3,8,b'\x00\x00\x00\x00@\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
885,4,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
886,5,8,b'\x00\x00\x00\x00@\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
887,6,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
888,7,8,b'\x00\x00\x00\x00@\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
889,8,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
890,9,8,b'\x00\x00\x00\x00@\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
891,10,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
892,11,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
893,12,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
894,13,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
895,14,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
896,15,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
897,16,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
898,17,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
899,18,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
900,19,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
901,20,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
902,21,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
903,22,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
904,23,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
905,24,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
906,25,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
907,26,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
908,27,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
909,28,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
910,29,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
911,30,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
912,31,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
913,32,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
914,33,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
915,34,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
916,35,8,b'\x00\x00\x00\x00A\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
917,36,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
