status,time,description,ID_in_Graph
1,1657859400.0,33,16,cmnd found in list
1,1657859400.0,33,16,cmnd found in list
1,1657859400.0,33,16,cmnd found in list
1,1657859400.01059,33,16,cmnd found in list
1,1657859401.01059,33,16,cmnd found in list
1,1657859402.01059,33,16,cmnd found in list
1,1657859592.033844,25,11,cmnd found in list
1,1657859602.033844,26,11,cmnd found in list
1,1657859612.033844,25,11,cmnd found in list
1,1657859622.033844,26,11,cmnd found in list
1,1657859661.980255,27,12,cmnd found in list
1,1657859671.980255,28,12,cmnd found in list
1,1657859681.980255,27,12,cmnd found in list
1,1657859691.980255,28,12,cmnd found in list
1,1657859751.984924,9,8,cmnd found in list
1,1657859752.984924,13,1,cmnd found in list
1,1657859753.984924,9,8,cmnd found in list
1,1657859754.984924,13,1,cmnd found in list
1,1657859814.98941,1,0,cmnd found in list
-1,1657859827.98941,12,0,cmnd found in list
1,1657859837.98941,1,0,cmnd found in list
1,1657859847.98941,12,0,cmnd found in list
1,1657859911.493225,23,14,cmnd found in list
1,1657859921.493225,24,14,cmnd found in list
1,1657859961.493225,23,14,cmnd found in list
1,1657859971.493225,24,14,cmnd found in list
1,1657862143.003204,33,16,cmnd found in list
1,1657862163.003204,33,16,cmnd found in list
1,1657862168.003204,33,16,cmnd found in list
1,1657864800.0,33,16,cmnd found in list
1,1657864800.0,33,16,cmnd found in list
1,1657864800.0,33,16,cmnd found in list
1,1657864800.011169,33,16,cmnd found in list
1,1657864801.011169,33,16,cmnd found in list
1,1657864802.011169,33,16,cmnd found in list
1,1657864992.021881,25,11,cmnd found in list
-1,1657865005.021881,26,11,cmnd found in list
1,1657865015.021881,25,11,cmnd found in list
1,1657865025.021881,26,11,cmnd found in list
1,1657865064.967133,27,12,cmnd found in list
1,1657865074.967133,28,12,cmnd found in list
1,1657865084.967133,27,12,cmnd found in list
1,1657865094.967133,28,12,cmnd found in list
1,1657865154.972076,9,8,cmnd found in list
1,1657865155.972076,13,1,cmnd found in list
1,1657865156.972076,9,8,cmnd found in list
1,1657865157.972076,13,1,cmnd found in list
1,1657865217.976837,1,0,cmnd found in list
-1,1657865230.976837,12,0,cmnd found in list
1,1657865240.976837,1,0,cmnd found in list
1,1657865250.976837,12,0,cmnd found in list
1,1657865314.486542,23,14,cmnd found in list
1,1657865324.486542,24,14,cmnd found in list
-1,1657865367.486542,23,14,cmnd found in list
1,1657865377.486542,24,14,cmnd found in list
1,1657867543.009186,33,16,cmnd found in list
1,1657867563.009186,33,16,cmnd found in list
1,1657867568.009186,33,16,cmnd found in list
1,1657870200.0,33,16,cmnd found in list
1,1657870200.0,33,16,cmnd found in list
1,1657870200.0,33,16,cmnd found in list
1,1657870200.013245,33,16,cmnd found in list
1,1657870201.013245,33,16,cmnd found in list
1,1657870202.013245,33,16,cmnd found in list
1,1657870397.96347,25,11,cmnd found in list
-1,1657870410.96347,26,11,cmnd found in list
1,1657870420.96347,25,11,cmnd found in list
1,1657870430.96347,26,11,cmnd found in list
1,1657870470.96817,27,12,cmnd found in list
1,1657870480.96817,28,12,cmnd found in list
1,1657870490.96817,27,12,cmnd found in list
1,1657870500.96817,28,12,cmnd found in list
1,1657870560.973053,9,8,cmnd found in list
1,1657870561.973053,13,1,cmnd found in list
1,1657870562.973053,9,8,cmnd found in list
1,1657870563.973053,13,1,cmnd found in list
1,1657870623.977753,1,0,cmnd found in list
1,1657870633.977753,12,0,cmnd found in list
1,1657870643.977753,1,0,cmnd found in list
1,1657870653.977753,12,0,cmnd found in list
1,1657870717.485535,23,14,cmnd found in list
1,1657870727.485535,24,14,cmnd found in list
-1,1657870770.485535,23,14,cmnd found in list
1,1657870780.485535,24,14,cmnd found in list
1,1657872940.002716,33,16,cmnd found in list
1,1657872960.002716,33,16,cmnd found in list
1,1657872965.002716,33,16,cmnd found in list
1,1657875600.0,33,16,cmnd found in list
1,1657875600.0,33,16,cmnd found in list
1,1657875600.0,33,16,cmnd found in list
1,1657875600.009644,33,16,cmnd found in list
1,1657875601.009644,33,16,cmnd found in list
1,1657875602.009644,33,16,cmnd found in list
1,1657875800.964508,25,11,cmnd found in list
1,1657875810.964508,26,11,cmnd found in list
1,1657875820.964508,25,11,cmnd found in list
1,1657875830.964508,26,11,cmnd found in list
1,1657875870.969177,27,12,cmnd found in list
1,1657875880.969177,28,12,cmnd found in list
1,1657875890.969177,27,12,cmnd found in list
1,1657875900.969177,28,12,cmnd found in list
1,1657875960.97403,9,8,cmnd found in list
1,1657875961.97403,13,1,cmnd found in list
1,1657875962.97403,9,8,cmnd found in list
1,1657875963.97403,13,1,cmnd found in list
-1,1657876026.978699,1,0,cmnd found in list
-1,1657876039.978699,12,0,cmnd found in list
1,1657876049.978699,1,0,cmnd found in list
1,1657876059.978699,12,0,cmnd found in list
1,1657876123.482513,23,14,cmnd found in list
1,1657876133.482513,24,14,cmnd found in list
-1,1657876176.482513,23,14,cmnd found in list
-1,1657876189.482513,24,14,cmnd found in list
1,1657878343.003235,33,16,cmnd found in list
1,1657878363.003235,33,16,cmnd found in list
1,1657878368.003235,33,16,cmnd found in list
1,1657881000.0,33,16,cmnd found in list
1,1657881000.0,33,16,cmnd found in list
1,1657881000.0,33,16,cmnd found in list
1,1657881000.00827,33,16,cmnd found in list
1,1657881001.00827,33,16,cmnd found in list
1,1657881002.00827,33,16,cmnd found in list
1,1657881198.028595,25,11,cmnd found in list
1,1657881208.028595,26,11,cmnd found in list
1,1657881218.028595,25,11,cmnd found in list
1,1657881228.028595,26,11,cmnd found in list
1,1657881267.975098,27,12,cmnd found in list
1,1657881277.975098,28,12,cmnd found in list
1,1657881287.975098,27,12,cmnd found in list
1,1657881297.975098,28,12,cmnd found in list
1,1657881357.979889,9,8,cmnd found in list
1,1657881358.979889,13,1,cmnd found in list
1,1657881359.979889,9,8,cmnd found in list
1,1657881360.979889,13,1,cmnd found in list
1,1657881420.984467,1,0,cmnd found in list
1,1657881430.984467,12,0,cmnd found in list
1,1657881440.984467,1,0,cmnd found in list
1,1657881450.984467,12,0,cmnd found in list
1,1657881514.490326,23,14,cmnd found in list
1,1657881524.490326,24,14,cmnd found in list
-1,1657881567.490326,23,14,cmnd found in list
1,1657881577.490326,24,14,cmnd found in list
1,1657883743.000916,33,16,cmnd found in list
1,1657883763.000916,33,16,cmnd found in list
1,1657883768.000916,33,16,cmnd found in list
1,1657886400.0,33,16,cmnd found in list
1,1657886400.0,33,16,cmnd found in list
1,1657886400.0,33,16,cmnd found in list
1,1657886400.012939,33,16,cmnd found in list
1,1657886401.012939,33,16,cmnd found in list
1,1657886402.012939,33,16,cmnd found in list
1,1657886598.021942,25,11,cmnd found in list
1,1657886608.021942,26,11,cmnd found in list
1,1657886618.021942,25,11,cmnd found in list
1,1657886628.021942,26,11,cmnd found in list
1,1657886667.969055,27,12,cmnd found in list
1,1657886677.969055,28,12,cmnd found in list
1,1657886687.969055,27,12,cmnd found in list
1,1657886697.969055,28,12,cmnd found in list
1,1657886757.97406,9,8,cmnd found in list
1,1657886758.97406,13,1,cmnd found in list
1,1657886759.97406,9,8,cmnd found in list
1,1657886760.97406,13,1,cmnd found in list
1,1657886820.978668,1,0,cmnd found in list
1,1657886830.978668,12,0,cmnd found in list
1,1657886840.978668,1,0,cmnd found in list
1,1657886850.978668,12,0,cmnd found in list
1,1657886914.483307,23,14,cmnd found in list
1,1657886924.483307,24,14,cmnd found in list
1,1657886964.483307,23,14,cmnd found in list
1,1657886974.483307,24,14,cmnd found in list
1,1657889140.007812,33,16,cmnd found in list
1,1657889160.007812,33,16,cmnd found in list
1,1657889165.007812,33,16,cmnd found in list
1,1657891800.0,33,16,cmnd found in list
1,1657891800.0,33,16,cmnd found in list
1,1657891800.0,33,16,cmnd found in list
1,1657891800.009888,33,16,cmnd found in list
1,1657891801.009888,33,16,cmnd found in list
1,1657891802.009888,33,16,cmnd found in list
1,1657891992.026031,25,11,cmnd found in list
1,1657892002.026031,26,11,cmnd found in list
1,1657892012.026031,25,11,cmnd found in list
1,1657892022.026031,26,11,cmnd found in list
1,1657892061.973022,27,12,cmnd found in list
1,1657892071.973022,28,12,cmnd found in list
1,1657892081.973022,27,12,cmnd found in list
1,1657892091.973022,28,12,cmnd found in list
1,1657892151.977814,9,8,cmnd found in list
1,1657892152.977814,13,1,cmnd found in list
1,1657892153.977814,9,8,cmnd found in list
1,1657892154.977814,13,1,cmnd found in list
-1,1657892217.982361,1,0,cmnd found in list
1,1657892227.982361,12,0,cmnd found in list
1,1657892237.982361,1,0,cmnd found in list
1,1657892247.982361,12,0,cmnd found in list
1,1657892311.486267,23,14,cmnd found in list
1,1657892321.486267,24,14,cmnd found in list
-1,1657892364.486267,23,14,cmnd found in list
1,1657892374.486267,24,14,cmnd found in list
1,1657894543.00647,33,16,cmnd found in list
1,1657894563.00647,33,16,cmnd found in list
1,1657894568.00647,33,16,cmnd found in list
1,1657897200.0,33,16,cmnd found in list
1,1657897200.0,33,16,cmnd found in list
1,1657897200.0,33,16,cmnd found in list
1,1657897200.013458,33,16,cmnd found in list
1,1657897201.013458,33,16,cmnd found in list
1,1657897202.013458,33,16,cmnd found in list
1,1657897398.020782,25,11,cmnd found in list
1,1657897408.020782,26,11,cmnd found in list
1,1657897418.020782,25,11,cmnd found in list
1,1657897428.020782,26,11,cmnd found in list
1,1657897467.968048,27,12,cmnd found in list
1,1657897477.968048,28,12,cmnd found in list
1,1657897487.968048,27,12,cmnd found in list
1,1657897497.968048,28,12,cmnd found in list
1,1657897557.972809,9,8,cmnd found in list
1,1657897558.972809,13,1,cmnd found in list
1,1657897559.972809,9,8,cmnd found in list
1,1657897560.972809,13,1,cmnd found in list
1,1657897620.978394,1,0,cmnd found in list
-1,1657897633.978394,12,0,cmnd found in list
1,1657897643.978394,1,0,cmnd found in list
1,1657897653.978394,12,0,cmnd found in list
1,1657897717.482208,23,14,cmnd found in list
1,1657897727.482208,24,14,cmnd found in list
1,1657897767.482208,23,14,cmnd found in list
1,1657897777.482208,24,14,cmnd found in list
1,1657899946.004608,33,16,cmnd found in list
1,1657899966.004608,33,16,cmnd found in list
1,1657899971.004608,33,16,cmnd found in list
1,1657902600.0,33,16,cmnd found in list
1,1657902600.0,33,16,cmnd found in list
1,1657902600.0,33,16,cmnd found in list
1,1657902600.017914,33,16,cmnd found in list
1,1657902601.017914,33,16,cmnd found in list
1,1657902602.017914,33,16,cmnd found in list
1,1657902795.028809,25,11,cmnd found in list
-1,1657902808.028809,26,11,cmnd found in list
1,1657902818.028809,25,11,cmnd found in list
1,1657902828.028809,26,11,cmnd found in list
1,1657902867.975098,27,12,cmnd found in list
1,1657902877.975098,28,12,cmnd found in list
1,1657902887.975098,27,12,cmnd found in list
1,1657902897.975098,28,12,cmnd found in list
1,1657902957.97995,9,8,cmnd found in list
1,1657902958.97995,13,1,cmnd found in list
1,1657902959.97995,9,8,cmnd found in list
1,1657902960.97995,13,1,cmnd found in list
1,1657903020.984528,1,0,cmnd found in list
-1,1657903033.984528,12,0,cmnd found in list
1,1657903043.984528,1,0,cmnd found in list
1,1657903053.984528,12,0,cmnd found in list
1,1657903117.488403,23,14,cmnd found in list
1,1657903127.488403,24,14,cmnd found in list
-1,1657903170.488403,23,14,cmnd found in list
-1,1657903183.488403,24,14,cmnd found in list
1,1657905340.006226,33,16,cmnd found in list
1,1657905360.006226,33,16,cmnd found in list
1,1657905365.006226,33,16,cmnd found in list
1,1657908000.0,33,16,cmnd found in list
1,1657908000.0,33,16,cmnd found in list
1,1657908000.0,33,16,cmnd found in list
1,1657908000.013458,33,16,cmnd found in list
1,1657908001.013458,33,16,cmnd found in list
1,1657908002.013458,33,16,cmnd found in list
1,1657908192.025879,25,11,cmnd found in list
1,1657908202.025879,26,11,cmnd found in list
1,1657908212.025879,25,11,cmnd found in list
1,1657908222.025879,26,11,cmnd found in list
1,1657908261.983063,27,12,cmnd found in list
1,1657908271.983063,28,12,cmnd found in list
1,1657908281.983063,27,12,cmnd found in list
1,1657908291.983063,28,12,cmnd found in list
1,1657908351.988129,9,8,cmnd found in list
1,1657908352.988129,13,1,cmnd found in list
1,1657908353.988129,9,8,cmnd found in list
1,1657908354.988129,13,1,cmnd found in list
1,1657908414.992676,1,0,cmnd found in list
1,1657908424.992676,12,0,cmnd found in list
1,1657908434.992676,1,0,cmnd found in list
1,1657908444.992676,12,0,cmnd found in list
1,1657908508.497375,23,14,cmnd found in list
1,1657908518.497375,24,14,cmnd found in list
-1,1657908561.497375,23,14,cmnd found in list
1,1657908571.497375,24,14,cmnd found in list
1,1657910740.00354,33,16,cmnd found in list
1,1657910760.00354,33,16,cmnd found in list
1,1657910765.00354,33,16,cmnd found in list
1,1657913400.0,-1,17,LOG END
1,1657913400.0,-1,17,LOG END
