status,time,description,ID_in_Graph
1,1657859400.0,"('delay until ', 1657859400.0)",SE0>script delayuntil 1657859400,
1,1657859400.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657859400.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657859400.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657859400.01059,read the current time ,1657859400.01059,
1,1657859400.01059,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657859401.01059,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657859401.01059,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657859402.01059,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657859402.01059,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657859582.01059,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657859582.01059,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657859582.01059,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657859582.01059,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657859582.01059,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657859592.01059,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859592.033844,read the current time ,1657859592.033844,
1,1657859592.033844,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657859602.033844,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859602.033844,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657859612.033844,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859612.033844,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657859622.033844,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859622.033844,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657859662.033844,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657859661.980255,read the current time ,1657859661.980255,
1,1657859661.980255,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657859671.980255,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859671.980255,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657859681.980255,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859681.980255,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657859691.980255,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657859691.980255,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657859751.980255,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657859751.984924,read the current time ,1657859751.984924,
1,1657859751.984924,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657859752.984924,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657859752.984924,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657859753.984924,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657859753.984924,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657859754.984924,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657859754.984924,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657859814.984924,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657859814.98941,read the current time ,1657859814.98941,
1,1657859814.98941,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
