#### , TYP-yyMMdd-HH:mm:ss-numer_N_all , yyyy-MMM-dd HH:mm:ss.SSSSSS , Lat , Lon , B_PhN , PhN90 , Pcore , B_dur , T_90 , Tcore , C_PhN , C_dur , DOY , xDPU , tcp , Pos , Corr , Typ ,

1, TGF-220406-10:55:03-47600 , 2022-04-06 10:55:03.747481 ,-19.1935,169.2934,31,27,27,117,82,61,6,40,96,943970,0, App ,-75511, B , 
2, TGF-220406-16:25:16-48387 , 2022-04-06 16:25:16.880516 ,33.7636,-78.7812,72,64,64,86,49,49, --- , --- ,96,789755,0, App ,19239, B , 
3, TGF-220407-13:03:46-51423 , 2022-04-07 13:03:46.122768 ,10.1623,106.6395,56,50,50,1314,752,744,21,1259,97,939392,0, App ,-4377, B , 
4, TGF-220411-21:31:12-00481 , 2022-04-11 21:31:12.294797 ,-8.9141,134.9519,62,56,55,1183,994,770, --- , --- ,101,516600,0, App ,-99198, B , 
5, TGF-220413-01:22:35-04511 , 2022-04-13 01:22:35.161010 ,-8.156,70.8273,42,38,37,188,104,100, --- , --- ,103,915827,0, App ,-1183, B , 
6, TGF-220413-11:27:57-06031 , 2022-04-13 11:27:57.522841 ,2.0958,101.8118,28,26,25,520,515,415, --- , --- ,103,745791,0, App ,16949, B , 
7, TGF-220413-11:29:01-06034 , 2022-04-13 11:29:01.091045 ,-1.1423,104.0919,256,230,230,153,95,87, --- , --- ,103,313640,0, App ,16594, B , 
8, TGF-220414-11:30:11-00125 , 2022-04-14 11:30:11.402743 ,7.5484,-77.0604,146,132,131,399,279,256, --- , --- ,104,368978,0, App ,-22765, B , 
9, TGF-220416-19:56:49-08023 , 2022-04-16 19:56:49.742407 ,-1.868,-42.2081,21,19,18,266,170,167, --- , --- ,106,764783,0, App ,34376, B , 
10, TGF-220416-19:56:51-08024 , 2022-04-16 19:56:51.052508 ,-1.9347,-42.161,62,56,55,100,60,58, --- , --- ,106,74889,0, App ,34380, B , 
11, TGF-220416-22:17:01-08298 , 2022-04-16 22:17:01.720787 ,4.5635,104.294,22,20,19,405,223,196, --- , --- ,106,616600,0, App ,73812, B , 
12, TGF-220417-04:28:45-09226 , 2022-04-17 04:28:45.779490 ,5.7601,10.7782,81,73,72,104,68,63, --- , --- ,107,309846,0, App ,9355, B , 
13, TGF-220417-16:05:39-10876 , 2022-04-17 16:05:39.988726 ,-7.8866,15.3849,56,50,50,141,83,83, --- , --- ,107,879425,0, App ,698, B , 
14, TGF-220418-15:15:10-14072 , 2022-04-18 15:15:10.343197 ,1.317,14.9806,47,43,42,252,152,126, --- , --- ,108,995882,0, App ,14684, B , 
15, TGF-220418-19:45:56-14632 , 2022-04-18 19:45:56.878735 ,24.4162,-73.7258,64,58,57,250,145,139, --- , --- ,108,305987,0, App ,89252, B , 
16, TGF-220419-02:50:13-15623 , 2022-04-19 02:50:13.216817 ,-5.2258,15.2594,17, --- , --- ,138, --- , --- ,14,241,109,276582,0, App ,-29235, C , 
17, TGF-220419-18:16:43-17783 , 2022-04-19 18:16:43.899827 ,-10.788,135.3168,66,60,59,200,107,86,13,95,109,149997,0, App ,94169, B , 
18, TGF-220420-21:22:15-21597 , 2022-04-20 21:22:15.579322 ,7.6748,-95.2363,70,62,62,489,400,383, --- , --- ,110,345259,0, App ,10936, B , 
19, TGF-220423-09:44:03-31178 , 2022-04-23 09:44:02.969030 ,3.4291,67.7565,62,56,55,226,116,98, --- , --- ,113,603967,0, App ,79936, B , 
20, TGF-220423-18:15:25-32870 , 2022-04-23 18:15:25.252330 ,-1.4729,119.3471,65,59,58,189,79,75,46,182,113,463868,0, App ,-43462, B , 
21, TGF-220424-20:31:37-38437 , 2022-04-24 20:31:37.097618 ,-9.0443,72.7649,28,26,25,118,62,53,6,203,114,75672,0, App ,-77946, B , 
22, TGF-220427-16:36:54-49214 , 2022-04-27 16:36:54.711633 ,-10.6476,113.2839,68,62,61,609,424,386,12,268,117,968581,0, App ,-33052, B , 
23, TGF-220429-19:33:44-59155 , 2022-04-29 19:33:44.594455 ,-31.8611,35.6994,15, --- , --- ,79, --- , --- ,6,98,119,400755,1, App ,67299, M , 
24, TGF-220502-12:42:31-07022 , 2022-05-02 12:42:31.156357 ,-5.4437,147.3639,37,33,33,234,171,130,8,180,122,615610,0, App ,38253, B , 
25, TGF-220503-13:29:57-13278 , 2022-05-03 13:29:57.257710 ,0.2668,133.8842,18, --- , --- ,206, --- , --- ,17,228,123,283086,0, App ,86375, C , 
26, TGF-220504-14:59:22-16552_1 , 2022-05-04 14:59:22.639297 ,7.2688,-80.7508,18, --- , --- ,677, --- , --- , --- , --- ,124,175052,0, App ,45754, B , 
