scalar,RGB_r,RGB_g,RGB_b,RGB_a
0,0,0,0,1
0.003921569,3,1,1,1
0.007843137,7,2,1,1
0.011764706,10,3,2,1
0.015686275,13,4,2,1
0.019607843,16,5,3,1
0.023529412,18,6,3,1
0.02745098,20,7,4,1
0.031372549,22,8,4,1
0.035294118,24,9,5,1
0.039215686,26,10,5,1
0.043137255,27,11,6,1
0.047058824,29,11,6,1
0.050980392,30,12,7,1
0.054901961,32,13,8,1
0.058823529,33,14,8,1
0.062745098,34,15,9,1
0.066666667,36,15,9,1
0.070588235,37,16,10,1
0.074509804,38,16,10,1
0.078431373,40,17,11,1
0.082352941,41,17,11,1
0.08627451,43,18,12,1
0.090196078,44,18,12,1
0.094117647,46,18,13,1
0.098039216,47,19,13,1
0.101960784,49,19,14,1
0.105882353,50,19,14,1
0.109803922,52,20,15,1
0.11372549,54,20,15,1
0.117647059,55,20,15,1
0.121568627,57,21,16,1
0.125490196,58,21,16,1
0.129411765,60,21,16,1
0.133333333,62,22,17,1
0.137254902,63,22,17,1
0.141176471,65,22,17,1
0.145098039,66,23,18,1
0.149019608,68,23,18,1
0.152941176,70,23,18,1
0.156862745,71,24,19,1
0.160784314,73,24,19,1
0.164705882,75,24,19,1
0.168627451,76,25,20,1
0.17254902,78,25,20,1
0.176470588,80,25,20,1
0.180392157,81,25,20,1
0.184313725,83,26,21,1
0.188235294,85,26,21,1
0.192156863,86,26,21,1
0.196078431,88,26,21,1
0.2,90,27,22,1
0.203921569,91,27,22,1
0.207843137,93,27,22,1
0.211764706,95,27,22,1
0.215686275,97,28,23,1
0.219607843,98,28,23,1
0.223529412,100,28,23,1
0.22745098,102,28,23,1
0.231372549,104,29,24,1
0.235294118,105,29,24,1
0.239215686,107,29,24,1
0.243137255,109,29,24,1
0.247058824,111,29,25,1
0.250980392,112,30,25,1
0.254901961,114,30,25,1
0.258823529,116,30,25,1
0.262745098,118,30,26,1
0.266666667,119,30,26,1
0.270588235,121,31,26,1
0.274509804,123,31,26,1
0.278431373,125,31,27,1
0.282352941,127,31,27,1
0.28627451,128,31,27,1
0.290196078,130,31,27,1
0.294117647,132,32,28,1
0.298039216,134,32,28,1
0.301960784,136,32,28,1
0.305882353,137,32,28,1
0.309803922,139,32,29,1
0.31372549,141,32,29,1
0.317647059,143,32,29,1
0.321568627,145,33,29,1
0.325490196,147,33,30,1
0.329411765,148,33,30,1
0.333333333,150,33,30,1
0.337254902,152,33,31,1
0.341176471,154,33,31,1
0.345098039,156,33,31,1
0.349019608,158,33,31,1
0.352941176,160,33,32,1
0.356862745,161,34,32,1
0.360784314,163,34,32,1
0.364705882,165,34,32,1
0.368627451,167,34,33,1
0.37254902,169,34,33,1
0.376470588,171,34,33,1
0.380392157,173,34,33,1
0.384313725,175,34,34,1
0.388235294,177,34,34,1
0.392156863,178,34,34,1
0.396078431,179,36,34,1
0.4,180,38,34,1
0.403921569,181,40,33,1
0.407843137,182,42,33,1
0.411764706,183,44,33,1
0.415686275,184,45,33,1
0.419607843,185,47,32,1
0.423529412,186,49,32,1
0.42745098,187,50,32,1
0.431372549,188,52,31,1
0.435294118,189,53,31,1
0.439215686,190,55,31,1
0.443137255,191,56,31,1
0.447058824,192,58,30,1
0.450980392,193,59,30,1
0.454901961,194,61,30,1
0.458823529,195,62,29,1
0.462745098,196,64,29,1
0.466666667,197,65,28,1
0.470588235,198,66,28,1
0.474509804,199,68,28,1
0.478431373,200,69,27,1
0.482352941,201,71,27,1
0.48627451,202,72,26,1
0.490196078,203,73,26,1
0.494117647,204,75,25,1
0.498039216,205,76,25,1
0.501960784,206,77,24,1
0.505882353,207,79,24,1
0.509803922,208,80,23,1
0.51372549,209,82,23,1
0.517647059,210,83,22,1
0.521568627,211,84,21,1
0.525490196,212,85,21,1
0.529411765,213,87,20,1
0.533333333,214,88,19,1
0.537254902,215,89,19,1
0.541176471,216,91,18,1
0.545098039,217,92,17,1
0.549019608,218,93,16,1
0.552941176,219,95,15,1
0.556862745,220,96,14,1
0.560784314,221,97,13,1
0.564705882,222,98,12,1
0.568627451,223,100,11,1
0.57254902,224,101,9,1
0.576470588,225,102,8,1
0.580392157,226,104,7,1
0.584313725,227,105,5,1
0.588235294,227,107,5,1
0.592156863,227,109,6,1
0.596078431,228,110,7,1
0.6,228,112,7,1
